00203;9608;00012.000;St                  ;ST ;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00204;5816;00012.000;St                  ;ST ;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00205;14024;00008.000;St                  ;ST ;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00206;81638;00002.000;Pck 6St             ;PCK;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00207;81638;00001.000;Pck 6St             ;PCK;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00208;81647;00001.000;Pck 6St             ;PCK;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00209;66537;00002.000;Pck 6St             ;PCK;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00210;58889;00005.000;Pck 6St             ;PCK;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00211;81636;00003.000;Pck 6St             ;PCK;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00212;81638;00002.000;Pck 6St             ;PCK;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00213;100202;00002.000;Pck 6St             ;PCK;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00214;81636;00006.000;Pck 6St             ;PCK;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00215;66537;00002.000;Pck 6St             ;PCK;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00216;58898;00001.000;Pck 6St             ;PCK;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00217;60893;00004.000;Pck 50St            ;PCK;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00218;60902;00002.000;Pck 50St            ;PCK;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00219;90948;00004.000;Pck 50St            ;PCK;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00220;60888;00002.000;Pck 50St            ;PCK;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00221;90947;00013.000;Pck 50St            ;PCK;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00222;20415;00014.000;St                  ;ST ;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00223;20415;00014.000;St                  ;ST ;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
